DIST_ID,PROC_NUM,FOLIO_NUM,SITE_ADDR,CONFIDENTIAL_FLAG,FPAY_NAME,ASSE_DATE,FEET_CODE,STATUS_CODE,COL_CON,COL_ADM,CRED_AMT,DEF_AMT,DEF_ADM,ASSD_CATTHRES_CATC_CODE,ASSD_BASIS_QTY,Textbox54,Textbox55,Textbox56,Textbox30,Textbox34,Textbox58,Textbox18,Textbox20,Textbox22,Textbox31,Textbox35,Textbox26
1,M2016017515-0,2220290240090,10621 NW 123 ST,,117853-ANDRES S MARQUEZ ,10/13/2016,ROAD,C,"$12,337.50 ",$246.75 ,$0.00 ,$0.00 ,$0.00 ,710-00,900,"$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2016006512-0,2220290240190,10651 NW 123 STREET RD #104,,,2/24/2016,ROAD,A,$148.76 ,$2.98 ,$0.00 ,$0.00 ,$0.00 ,710-00,16,"$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2016006512-0,2220290240190,10651 NW 123 STREET RD #104,,,2/24/2016,ROAD,A,$148.76 ,$2.98 ,$0.00 ,$0.00 ,$0.00 ,150-00,-16,"$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2016006738-0,2220300160090,12210 NW 108 AVE,,115528-ENVIOD LLC,3/17/2016,ROAD,C,"$108,654.84 ","$2,173.10 ",$0.00 ,$0.00 ,$0.00 ,150-00,"24,635.00","$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2015006770-0,2230040100050,9151 NW 97 TER,,"CASH, CASHIER'S CK, OR MO TO",1/28/2016,ROAD,A,"$33,691.55 ",$673.83 ,$0.00 ,$0.00 ,$0.00 ,710-00,"3,857.00","$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2015006770-0,2230040100050,9151 NW 97 TER,,"CASH, CASHIER'S CK, OR MO TO",1/28/2016,ROAD,A,"$33,691.55 ",$673.83 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-1,881.00","$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2016015826-0,2530310070330,1470 NW 107 AVE 13,,"117935-SEBAZCO, RAUL G.",9/2/2016,ROAD,C,"$6,305.83 ",$126.12 ,$0.00 ,$0.00 ,$0.00 ,710-00,460,"$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2014011658-0,2530310410720,1835 NW 112 AVE 172,,"CASH, CASHIER'S CK, OR MO TO",1/12/2016,ROAD,A,"$29,286.97 ",$585.74 ,$0.00 ,$0.00 ,$0.00 ,150-00,"-2,592.00","$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2014011658-0,2530310410720,1835 NW 112 AVE 172,,"CASH, CASHIER'S CK, OR MO TO",1/12/2016,ROAD,A,"$29,286.97 ",$585.74 ,$0.00 ,$0.00 ,$0.00 ,820-00,"3,028.00","$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
1,M2016008779-0,2530310000271,10887 NW 17 ST BLDG 1,,116844-DOPLHIN PARK OF COMMERCE III L,4/28/2016,ROAD,C,"$401,971.69 ","$8,039.43 ",$0.00 ,$0.00 ,$0.00 ,710-01,"16,380.00","$26,071,513.15 ","$530,312.22 ","$4,483,510.81 ",0,$0.00 ,"1,066,135.11","$336,419,891.47 ","$6,836,367.04 ","$7,028,460.50 ","$25,000.00 ",$500.00 ,"9,251,566.11"
